type,t,x,y,z,qx,qy,qz,qw
real,7.607000,-1.999974,-0.500000,0.008726,0.000009,0.000778,0.000200,1.000000
odom,7.641000,-1.977076,-0.522259,0.008723,0.000010,0.000777,0.000201,1.000000
estimator,1716592597.804459,-1.956944,-0.578567,0.008054,0.000006,0.000785,0.000200,1.000000
real,7.641000,-1.999974,-0.500000,0.008723,0.000010,0.000777,0.000201,1.000000
odom,7.675000,-1.944277,-0.547681,0.008717,0.000010,0.000777,0.000202,1.000000
estimator,1716592597.837559,-1.977077,-0.522259,0.008051,0.000007,0.000784,0.000201,1.000000
real,7.675000,-1.999974,-0.500000,0.008717,0.000010,0.000777,0.000202,1.000000
odom,7.709000,-2.085767,-0.548378,0.008723,0.000010,0.000778,0.000203,1.000000
estimator,1716592597.872264,-1.944278,-0.547681,0.008045,0.000007,0.000784,0.000202,1.000000
real,7.709000,-1.999974,-0.500000,0.008723,0.000010,0.000778,0.000203,1.000000
odom,7.743000,-2.008523,-0.561113,0.008728,0.000010,0.000780,0.000204,1.000000
estimator,1716592597.905698,-2.085768,-0.548378,0.008053,0.000007,0.000786,0.000203,1.000000
real,7.743000,-1.999974,-0.500000,0.008728,0.000010,0.000780,0.000204,1.000000
odom,7.777000,-1.971009,-0.431793,0.008728,0.000009,0.000778,0.000205,1.000000
estimator,1716592597.978807,5.555641,-2.337746,-0.003763,0.000113,0.000775,0.141238,0.989975
real,7.777000,-1.999974,-0.500000,0.008728,0.000009,0.000778,0.000205,1.000000
odom,7.811000,-2.050468,-0.490510,0.008717,0.000008,0.000775,0.000206,1.000000
estimator,1716592597.982584,-1.989486,-0.497033,0.008028,0.000007,0.000787,0.000278,1.000000
real,7.811000,-1.999974,-0.500000,0.008717,0.000008,0.000775,0.000206,1.000000
odom,7.845000,-2.007878,-0.500740,0.008719,0.000008,0.000776,0.000207,1.000000
estimator,1716592598.007615,-2.050469,-0.490510,0.007991,0.000007,0.000784,0.000206,1.000000
real,7.845000,-1.999973,-0.500000,0.008719,0.000008,0.000776,0.000207,1.000000
odom,7.879000,-1.955356,-0.487659,0.008725,0.000008,0.000778,0.000208,1.000000
estimator,1716592598.041677,-2.007879,-0.500740,0.007991,0.000006,0.000785,0.000207,1.000000
real,7.879000,-1.999973,-0.500000,0.008725,0.000008,0.000778,0.000208,1.000000
odom,7.913000,-1.915177,-0.547039,0.008726,0.000009,0.000778,0.000209,1.000000
estimator,1716592598.077006,-1.955358,-0.487659,0.007997,0.000006,0.000787,0.000208,1.000000
real,7.913000,-1.999973,-0.500000,0.008726,0.000009,0.000778,0.000209,1.000000
odom,7.947000,-1.961685,-0.571187,0.008724,0.000010,0.000776,0.000210,1.000000
estimator,1716592598.109688,-1.915178,-0.547039,0.007997,0.000007,0.000787,0.000209,1.000000
real,7.947000,-1.999973,-0.500000,0.008724,0.000010,0.000776,0.000210,1.000000
odom,7.981000,-1.949465,-0.467718,0.008719,0.000009,0.000776,0.000211,1.000000
estimator,1716592598.153962,-1.856489,-0.218801,0.007838,0.000008,0.000785,0.000219,1.000000
real,7.981000,-1.999973,-0.500000,0.008719,0.000009,0.000776,0.000211,1.000000
odom,8.015000,-2.028599,-0.450544,0.008719,0.000008,0.000777,0.000212,1.000000
estimator,1716592598.178508,-1.956008,-0.518459,0.007988,0.000008,0.000785,0.000102,1.000000
real,8.015000,-1.999973,-0.500000,0.008719,0.000008,0.000777,0.000212,1.000000
odom,8.049000,-2.047987,-0.451049,0.008721,0.000008,0.000777,0.000212,1.000000
estimator,1716592598.211736,-2.028600,-0.450544,0.007980,0.000007,0.000786,0.000212,1.000000
real,8.049000,-1.999973,-0.500000,0.008721,0.000008,0.000777,0.000212,1.000000
odom,8.083000,-2.031763,-0.447613,0.008728,0.000010,0.000778,0.000213,1.000000
estimator,1716592598.245903,-2.047988,-0.451049,0.007982,0.000007,0.000785,0.000212,1.000000
real,8.083000,-1.999973,-0.500000,0.008728,0.000010,0.000778,0.000213,1.000000
odom,8.117000,-2.042830,-0.437189,0.008725,0.000011,0.000778,0.000214,1.000000
estimator,1716592598.280319,-2.031764,-0.447613,0.007989,0.000010,0.000787,0.000213,1.000000
real,8.117000,-1.999973,-0.500000,0.008725,0.000011,0.000778,0.000214,1.000000
odom,8.151000,-2.008154,-0.576933,0.008717,0.000011,0.000776,0.000215,1.000000
estimator,1716592598.313374,-2.042831,-0.437189,0.007987,0.000010,0.000786,0.000214,1.000000
real,8.151000,-1.999973,-0.500000,0.008717,0.000011,0.000776,0.000215,1.000000
odom,8.185000,-1.964828,-0.439029,0.008717,0.000006,0.000776,0.000216,1.000000
